Volume,T_DHT,T_BMP,Pressure,DateTime
133.0645161,24.05,24.13,1024.434757,2016-11-27T17:22:45.0000000+01:00
96.93548387,24.5249999,24.52,1024.494539,2016-11-27T17:27:45.0000000+01:00
97.90322581,25.04500017,24.895,1024.583963,2016-11-27T17:32:46.0000000+01:00
105.6451613,25.33499947,25.08,1024.633698,2016-11-27T17:37:46.0000000+01:00
130.8064516,26.7499999,25.25,1024.743719,2016-11-27T17:42:46.0000000+01:00
132.7419355,26.75999994,25.325,1024.816061,2016-11-27T17:47:46.0000000+01:00
97.74193548,25.75499983,25.45,1024.902972,2016-11-27T17:52:47.0000000+01:00
95.32258065,26.16500025,25.625,1024.965267,2016-11-27T17:57:47.0000000+01:00
95.64516129,26.31499929,25.725,1024.997922,2016-11-27T18:02:47.0000000+01:00
91.29032258,26.31499929,25.81,1025.017012,2016-11-27T18:07:47.0000000+01:00
94.03225806,26.40999966,25.85,1025.097895,2016-11-27T18:12:48.0000000+01:00
98.87096774,26.48499994,25.895,1025.169233,2016-11-27T18:17:48.0000000+01:00
97.25806452,26.57000017,25.785,1025.254637,2016-11-27T18:22:48.0000000+01:00
91.77419355,26.79999924,25.665,1025.320448,2016-11-27T18:27:49.0000000+01:00
94.35483871,26.86499949,25.585,1025.430469,2016-11-27T18:32:49.0000000+01:00
94.35483871,26.95999985,25.555,1025.531949,2016-11-27T18:37:49.0000000+01:00
93.70967742,27.01000004,25.615,1025.597761,2016-11-27T18:42:49.0000000+01:00
98.38709677,26.94499979,25.525,1025.721848,2016-11-27T18:47:50.0000000+01:00
99.67741935,27.06000023,25.36,1025.805242,2016-11-27T18:52:50.0000000+01:00
92.74193548,26.98499994,25.25,1025.882609,2016-11-27T18:57:50.0000000+01:00
94.35483871,26.96999989,25.28,1025.976553,2016-11-27T19:02:50.0000000+01:00
93.70967742,27.00500002,25.23,1026.074014,2016-11-27T19:07:51.0000000+01:00
93.22580645,27.01500006,25.155,1026.146859,2016-11-27T19:12:51.0000000+01:00
91.93548387,27.04000015,25.305,1026.194585,2016-11-27T19:17:51.0000000+01:00
149.8387097,26.78999939,25.665,1026.304103,2016-11-27T19:22:51.0000000+01:00
97.09677419,26.66000032,25.59,1026.438741,2016-11-27T19:27:52.0000000+01:00
91.77419355,26.53000011,25.47,1026.534192,2016-11-27T19:32:52.0000000+01:00
95,26.61500044,25.435,1026.621606,2016-11-27T19:37:52.0000000+01:00
91.93548387,26.68500071,25.505,1026.705503,2016-11-27T19:42:52.0000000+01:00
95.64516129,26.64500055,25.435,1026.718063,2016-11-27T19:47:53.0000000+01:00
92.90322581,26.77999954,25.34,1026.772822,2016-11-27T19:52:53.0000000+01:00
90.48387097,26.85499945,25.315,1026.782869,2016-11-27T19:57:53.0000000+01:00
97.74193548,26.78499994,25.31,1026.880833,2016-11-27T20:02:53.0000000+01:00
88.38709677,26.80499954,25.315,1026.941118,2016-11-27T20:07:54.0000000+01:00
94.35483871,26.81999931,25.315,1026.959204,2016-11-27T20:12:54.0000000+01:00
89.03225806,26.85499945,25.26,1027.004418,2016-11-27T20:17:54.0000000+01:00
90.80645161,26.80999956,25.315,1027.107908,2016-11-27T20:22:55.0000000+01:00
89.51612903,26.82499933,25.26,1027.174724,2016-11-27T20:27:55.0000000+01:00
92.41935484,26.88499956,25.155,1027.24154,2016-11-27T20:32:55.0000000+01:00
91.93548387,26.85499945,25.245,1027.34503,2016-11-27T20:37:55.0000000+01:00
93.06451613,26.77499962,25.205,1027.42742,2016-11-27T20:42:56.0000000+01:00
92.09677419,26.84499941,25.145,1027.442491,2016-11-27T20:47:56.0000000+01:00
94.35483871,26.75999985,25.24,1027.538445,2016-11-27T20:52:56.0000000+01:00
151.6129032,26.78499947,25.145,1027.632892,2016-11-27T20:57:56.0000000+01:00
96.4516129,26.74499979,25.125,1027.668058,2016-11-27T21:02:57.0000000+01:00
97.90322581,26.76499977,25.1,1027.736382,2016-11-27T21:07:57.0000000+01:00
91.29032258,26.74999971,25.1,1027.878052,2016-11-27T21:12:57.0000000+01:00
92.25806452,26.74500008,25.12,1027.955921,2016-11-27T21:17:57.0000000+01:00
90.80645161,26.78999939,25.115,1027.993599,2016-11-27T21:22:58.0000000+01:00
95.80645161,26.79999924,25.01,1028.058406,2016-11-27T21:27:58.0000000+01:00
96.61290323,26.79999924,25,1028.150341,2016-11-27T21:32:58.0000000+01:00
89.83870968,26.77999954,24.985,1028.193043,2016-11-27T21:37:58.0000000+01:00
91.93548387,26.67500067,25.005,1028.231726,2016-11-27T21:42:59.0000000+01:00
92.74193548,26.70500069,24.995,1028.296533,2016-11-27T21:47:59.0000000+01:00
92.90322581,26.77999954,25.02,1028.325168,2016-11-27T21:52:59.0000000+01:00
96.77419355,26.73500023,24.925,1028.361842,2016-11-27T21:57:59.0000000+01:00
89.83870968,26.70500059,24.985,1028.324666,2016-11-27T22:03:00.0000000+01:00
99.35483871,26.56000023,25.1,1028.366363,2016-11-27T22:08:00.0000000+01:00
93.22580645,26.48999996,25.045,1028.40153,2016-11-27T22:13:00.0000000+01:00
105.9677419,26.45999985,25.05,1028.43318,2016-11-27T22:18:00.0000000+01:00
95.48387097,26.57000027,24.92,1028.451265,2016-11-27T22:23:01.0000000+01:00
92.90322581,26.53000011,25.11,1028.496479,2016-11-27T22:28:01.0000000+01:00
140.8064516,26.43499975,25.095,1028.509541,2016-11-27T22:33:01.0000000+01:00
106.6129032,26.51500006,25.045,1028.542195,2016-11-27T22:38:01.0000000+01:00
96.29032258,26.56000023,25,1028.547722,2016-11-27T22:43:02.0000000+01:00
101.4516129,26.59000034,25.075,1028.563798,2016-11-27T22:48:02.0000000+01:00
93.70967742,26.58000031,25,1028.641666,2016-11-27T22:53:02.0000000+01:00
95.32258065,26.57500029,25.04,1028.759223,2016-11-27T22:58:03.0000000+01:00
92.74193548,26.56000023,25.06,1028.801925,2016-11-27T23:03:03.0000000+01:00
97.90322581,26.62500048,25.035,1028.841612,2016-11-27T23:08:03.0000000+01:00
91.4516129,26.68000069,25.005,1028.926012,2016-11-27T23:13:03.0000000+01:00
91.4516129,26.68500071,24.995,1028.921491,2016-11-27T23:18:04.0000000+01:00
97.90322581,26.60000038,25,1028.959671,2016-11-27T23:23:04.0000000+01:00
93.38709677,26.55000019,24.955,1028.98479,2016-11-27T23:28:04.0000000+01:00
96.29032258,26.51000004,24.97,1029.089787,2016-11-27T23:33:04.0000000+01:00
90.16129032,26.52000008,24.995,1029.075218,2016-11-27T23:38:05.0000000+01:00
94.67741935,26.51500006,24.965,1029.126963,2016-11-27T23:43:05.0000000+01:00
95.96774194,26.5250001,24.93,1029.218898,2016-11-27T23:48:05.0000000+01:00
94.35483871,26.51000004,24.905,1029.217893,2016-11-27T23:53:05.0000000+01:00
93.5483871,26.50500002,24.85,1029.230453,2016-11-27T23:58:06.0000000+01:00
97.58064516,26.47999992,24.83,1029.304805,2016-11-28T00:03:06.0000000+01:00
96.77419355,26.47999992,24.815,1029.313345,2016-11-28T00:08:06.0000000+01:00
157.0967742,26.5,24.805,1029.397242,2016-11-28T00:13:06.0000000+01:00
92.74193548,26.45999985,24.815,1029.342483,2016-11-28T00:18:07.0000000+01:00
98.38709677,26.38999958,24.78,1029.341981,2016-11-28T00:23:07.0000000+01:00
94.35483871,26.38999958,24.785,1029.356047,2016-11-28T00:28:07.0000000+01:00
94.03225806,26.23000002,24.76,1029.339469,2016-11-28T00:33:07.0000000+01:00
96.61290323,26.18500052,24.625,1029.381668,2016-11-28T00:38:08.0000000+01:00
94.83870968,26.15500059,24.535,1029.383678,2016-11-28T00:43:08.0000000+01:00
97.90322581,26.15500059,24.565,1029.449489,2016-11-28T00:48:08.0000000+01:00
92.41935484,26.11500044,24.475,1029.418844,2016-11-28T00:53:08.0000000+01:00
94.51612903,26.13500052,24.415,1029.452001,2016-11-28T00:58:09.0000000+01:00
98.38709677,26.07500029,24.395,1029.526353,2016-11-28T01:03:09.0000000+01:00
92.90322581,26.01500006,24.325,1029.613264,2016-11-28T01:08:09.0000000+01:00
106.4516129,26.01000004,24.31,1029.666516,2016-11-28T01:13:09.0000000+01:00
94.51612903,26,24.3,1029.587141,2016-11-28T01:18:10.0000000+01:00
98.06451613,25.96999989,24.245,1029.642905,2016-11-28T01:23:10.0000000+01:00
94.35483871,26,24.24,1029.593672,2016-11-28T01:28:10.0000000+01:00
91.29032258,26.07500029,24.285,1029.648431,2016-11-28T01:33:11.0000000+01:00
97.41935484,26.10000038,24.285,1029.643909,2016-11-28T01:38:11.0000000+01:00
